"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,0.822945370453429,0.0411472685226714,-2.64171921908126,-0.132085960954063,-1.89262316203696,-4.05744059187911,0.272194267805191
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1.76964879784369,0.0884824398921844,-3.04603437035773,-0.152301718517887,-1.63370414512897,-3.79215494123779,0.524746650979846
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,2.21117551327284,0.110558775663642,-2.32754308046285,-0.116377154023143,-1.51294862677972,-3.6719796498869,0.646082396327463
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1.923958711477,0.0961979355738498,-2.78736791049372,-0.139368395524686,-1.59150109612636,-3.7498977230875,0.566895530834776
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,2.26240382321188,0.113120191160594,-3.09672742263378,-0.154836371131689,-1.49893792050834,-3.6581825706971,0.660306729680428
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,2.11862810836663,0.105931405418331,-3.05343059155549,-0.152671529577774,-1.53825991477385,-3.69698209595878,0.620462266411092
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1.73262279965743,0.0866311399828717,-2.78223894135098,-0.139111947067549,-1.64383058470134,-3.80233545467938,0.514674285276691
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1.07081291950922,0.053540645975461,-2.76206686701352,-0.138103343350676,-1.82483253165778,-3.98698243630448,0.337317372988922
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,2.07445135465193,0.103722567732596,-2.79031415582063,-0.139515707791031,-1.55034205297158,-3.70895181462139,0.608267708678232
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1.87579144249963,0.0937895721249815,-3.12037509180987,-0.156018754590494,-1.60467462182611,-3.76305851283715,0.553709269184939
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,2.13086846057932,0.106543423028966,-2.79453384420022,-0.139726692210011,-1.53491223495161,-3.6936695674393,0.623845097536084
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,1.90010411470408,0.0950052057352038,-3.10386380110656,-0.155193190055328,-1.59802521821833,-3.75641217487872,0.560361738442052
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,2.05993155480558,0.102996577740279,-3.397015541635,-0.16985077708175,-1.55431315119848,-3.71289090339989,0.604264601002919
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,1.28496428028703,0.0642482140143515,-2.86810218641765,-0.143405109320882,-1.76626312312088,-3.92667894333002,0.394152697088251
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,1.62982347676328,0.081491173838164,-2.86526646076009,-0.143263323038004,-1.6719457249369,-3.83068405308595,0.486792603212152
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,1.80911317894708,0.0904556589473538,-2.84688674614769,-0.142344337307385,-1.62291081908563,-3.78132148196855,0.535499843797285
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,1.74399688627704,0.0871998443138519,-3.0762886241786,-0.15381443120893,-1.64071982451968,-3.79920639188118,0.517766742841833
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,1.9352060099955,0.0967603004997748,-3.49326916770948,-0.174663458385474,-1.58842501190503,-3.7468284875441,0.569978463734052
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,1.63472150852424,0.081736075426212,-3.23146930391968,-0.161573465195984,-1.67060613586218,-3.82933056107263,0.488118289348272
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,1.63272525916071,0.0816362629580353,-2.83026631846745,-0.141513315923372,-1.67115210084737,-3.82988215878868,0.487577957093952
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,1.65269617154393,0.0826348085771967,-2.16479879356526,-0.108239939678263,-1.66569014850684,-3.82436593590274,0.492985638889068
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,1.79693266642573,0.0898466333212864,-2.83929878824341,-0.141964939412171,-1.62624213302854,-3.78466325597686,0.532178989919782
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2.14055076175076,0.107027538087538,-3.3501354834689,-0.167506774173445,-1.53226417027984,-3.69105053811997,0.626522197560298
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,2.39431424474451,0.119715712237225,-2.83297213069156,-0.141648606534578,-1.46286102918737,-3.62279564313763,0.69707358476289
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,2.32296576455994,0.116148288227997,-3.11395573278545,-0.155697786639272,-1.48237450913557,-3.64191091736108,0.677161899089943
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,1.91943806899097,0.0959719034495486,-3.44540822855953,-0.172270411427977,-1.59273747097662,-3.75113175854926,0.565656816596031
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,2.64067227552474,0.132033613776237,-2.99545189655417,-0.149772594827709,-1.39548324508782,-3.55724543104797,0.76627894087233
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,2.55874378598101,0.12793718929905,-2.80409466807365,-0.140204733403683,-1.41789030875283,-3.57896687694567,0.743186259440004
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,1.50998653892198,0.0754993269460989,-2.57966009692547,-0.128983004846274,-1.70472057420587,-3.86388567286429,0.454444524452552
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,1.70618053510109,0.0853090267550544,-3.10568863591729,-0.155284431795865,-1.65106242198604,-3.80961563862672,0.507490794654641
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,2.42232183973773,0.121116091986887,-2.85609775257379,-0.142804887628689,-1.45520108125458,-3.61530811198741,0.70490594947825
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,1.91104761942149,0.0955523809710743,-2.98450079556703,-0.149225039778352,-1.59503222019912,-3.75342279392903,0.56335835353079
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,1.91685904286032,0.0958429521430158,-2.46856945867139,-0.123428472933569,-1.5934428227172,-3.75183588183771,0.564950236403307
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,1.93862006360244,0.0969310031801222,-3.05314827488601,-0.1526574137443,-1.5874912840046,-3.74589712875148,0.57091456074228
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,1.74788182661931,0.0873940913309653,-2.52971040040131,-0.126485520020066,-1.639657311271,-3.79813797086068,0.518823348318678
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,1.75260088260786,0.0876300441303929,-3.33886788816531,-0.166943394408265,-1.63836667124379,-3.79684039003432,0.520107047546746
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,2.03232032314053,0.101616016157027,-3.15401754333813,-0.157700877166907,-1.56186469559084,-3.7203883212907,0.596658930109021
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,2.14900436539268,0.107450218269634,-3.14554754881733,-0.157277377440866,-1.52995214871007,-3.68876475575742,0.628860458337276
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,2.21327716119845,0.110663858059923,-3.12304835399231,-0.156152417699616,-1.51237383577438,-3.67141302488837,0.646665353339609
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,1.28370423063138,0.0641852115315689,-2.68807399372757,-0.134403699686379,-1.76660774088465,-3.92703221440323,0.393816732633932
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,1.3078394950786,0.0653919747539299,-2.74194203750804,-0.137097101875402,-1.76000685747947,-3.92026877612726,0.40025506116832
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,0.944974673694982,0.0472487336847491,-2.7585578406277,-0.137927892031385,-1.85924871095214,-4.02266445363131,0.304167031727038
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,1.26357466276637,0.0631787331383186,-2.574012679285,-0.12870063396425,-1.77211308476701,-3.93267828616011,0.388452116626091
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,1.80568774248675,0.0902843871243374,-3.06297761486397,-0.153148880743199,-1.62384766014391,-3.78226109074774,0.534565770459918
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,1.73312821763588,0.0866564108817939,-2.72024456817156,-0.136012228408578,-1.64369235521751,-3.80219638005506,0.514811669620034
