depth	min	max	median	mean
52.8	581.6	998.74	819.58	811.9
52.9	584.33	999.84	821.65	814.28
53	587.32	1001.74	824	816.66
53.1	588.65	1002.62	827.02	819.04
53.2	589.35	1004.28	829.71	821.42
53.3	590	1006.24	832.23	823.8
53.4	592.43	1008.34	835	826.18
53.5	593.94	1011.2	837.53	828.56
53.6	596.41	1012.54	840.1	830.94
53.7	599.05	1014.79	842.41	833.32
53.8	600.77	1018.83	845.2	835.7
53.9	602.18	1019.91	848.29	838.08
54	603.17	1020.91	850.97	840.46
54.1	605.11	1022.88	853.61	842.84
54.2	607.22	1023.76	856.74	845.22
54.3	608.26	1024.96	859.33	847.6
54.4	610.1	1026.22	861.89	849.98
54.5	611.61	1028.44	864.19	852.36
54.6	613.39	1031.49	866.69	854.74
54.7	615.33	1033.58	869.18	857.12
54.8	616.33	1036.15	871.31	859.5
54.9	618.55	1038.36	873.44	861.88
55	619.27	1041.28	875.91	864.26
55.1	627.81	1043.32	878.35	867.1
55.2	636.38	1044.24	880.53	869.94
55.3	644.78	1044.47	883.17	872.78
55.4	651.95	1046.07	885.63	875.63
55.5	658.67	1047.6	887.97	878.47
55.6	665.96	1048.08	890.32	881.31
55.7	672.13	1050.08	892.76	884.15
55.8	679.96	1052.77	895.34	886.99
55.9	687.89	1055.39	897.69	889.84
56	694.81	1057.29	900	892.68
56.1	702.33	1059.15	902.3	895.52
56.2	708.95	1061.17	904.29	898.36
56.3	715.73	1063.53	906.39	901.2
56.4	722.46	1066.14	908.42	904.04
56.5	729.73	1068.97	910.19	906.89
56.6	736.27	1071.14	912.46	909.73
56.7	742.71	1073.74	914.97	912.57
56.8	750.09	1076.34	916.81	915.41
56.9	756.9	1078.33	918.86	918.25
57	763.69	1079.52	920.99	921.1
57.1	770.09	1081.93	923.61	923.94
57.2	776.5	1084.29	926.18	926.78
57.3	782.72	1087.99	928.29	929.62
57.4	788.93	1090.91	930.44	932.46
57.5	795.3	1092.92	933.04	935.31
57.6	800.95	1095.67	935.35	938.15
57.7	807	1099.65	938.06	940.99
57.8	811.08	1102.68	940.46	943.83
57.9	815.76	1104.84	943.02	946.67
58	822.84	1106.84	945.62	949.52
58.1	829.41	1109.78	948.2	952.36
58.2	835.14	1111.57	951.06	955.2
58.3	840.92	1113.46	953.83	958.04
58.4	846.14	1115.34	956.83	960.88
58.5	853.98	1117.81	959.22	963.72
58.6	860.52	1121.22	962.2	966.57
58.7	867.72	1123.49	965.06	969.41
58.8	873.56	1126.93	967.97	972.25
58.9	879.1	1130.43	970.77	975.09
59	883.69	1133.34	973.83	977.93
59.1	889.64	1135	976.48	980.78
59.2	893.83	1138.05	979	983.62
59.3	898.96	1141.1	981.64	986.46
59.4	904	1143.24	984.44	989.3
59.5	907.09	1146.29	986.51	992.14
59.6	909.25	1149.18	988.86	994.99
59.7	913.02	1151.78	991.71	997.83
59.8	915.04	1154.32	994.59	1000.67
59.9	918.01	1158.12	997.82	1003.51
60	919.08	1159.76	1001.52	1006.35
60.1	925.11	1165.49	1006.87	1012.01
60.2	931.5	1170.86	1013.42	1017.66
60.3	935.28	1178.46	1019.78	1023.31
60.4	939.14	1184.03	1026.87	1028.96
60.5	941.79	1188.72	1032.48	1034.61
60.6	944.01	1193.95	1038.8	1040.26
60.7	946.42	1198.58	1044.69	1045.92
60.8	949.03	1206.68	1050.21	1051.57
60.9	951.1	1214.25	1054.4	1057.22
61	953.28	1220.91	1059.29	1062.87
61.1	954.44	1230.98	1064.14	1068.52
61.2	956.98	1247.04	1068.57	1074.17
61.3	959.05	1259.16	1072.62	1079.83
61.4	960.41	1268.61	1077.59	1085.48
61.5	962.14	1280.02	1081.33	1091.13
61.6	963.69	1293.8	1086.71	1096.78
61.7	965.18	1308.1	1091.23	1102.43
61.8	966.3	1319.62	1095.57	1108.09
61.9	968.08	1332.82	1100.58	1113.74
62	969.07	1341.86	1105.13	1119.39
62.1	971.32	1355.14	1109.89	1125.04
62.2	972.49	1368.15	1115.19	1130.69
62.3	973.59	1381.6	1119.88	1136.34
62.4	974.66	1396.03	1124.38	1142
62.5	976.27	1408.98	1129.32	1147.65
62.6	977.47	1426.32	1134.06	1153.3
62.7	978.43	1440.68	1139.43	1158.95
62.8	979.32	1455.48	1144.2	1164.6
62.9	980.23	1471.08	1149.42	1170.25
63	981.89	1488.23	1153.69	1175.91
63.1	983.08	1504.08	1158.45	1181.56
63.2	984.44	1519.27	1163.23	1187.21
63.3	985.12	1532.84	1167.8	1192.86
