"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,-1.53581687371306,-0.0767908436856532,-3.42606423798083,-0.171303211899042,-2.33092309056818,-3.69939894466531,-0.96244723647104
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-0.758697766831758,-0.0379348883415879,-2.32215037222415,-0.116107518611207,-2.13871173154847,-3.49938939850828,-0.77803406458867
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,0.632206030734278,0.0316103015367139,-1.9278565323059,-0.0963928266152952,-1.79468787879733,-3.15553315499294,-0.433842602601721
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,0.32831140137651,0.0164155700688255,-2.27009819395177,-0.113504909697588,-1.86985267553237,-3.22910888538852,-0.510596465676215
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-0.028400245281088,-0.0014200122640544,-2.27448806556058,-0.113724403278029,-1.95808114627139,-3.31657888116831,-0.599583411374466
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,0.494973525645799,0.02474867628229,-1.7747663061843,-0.0887383153092151,-1.82863074041425,-3.18865117375756,-0.468610307070931
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,0.527927008795031,0.0263963504397515,-1.75290041011922,-0.0876450205059612,-1.82048008020726,-3.18068248036392,-0.460277680050603
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,0.387407896109107,0.0193703948054553,-2.069819476631,-0.10349097383155,-1.85523584593022,-3.21473320429639,-0.495738487564056
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-0.677304918220511,-0.0338652459110256,-3.14262074459843,-0.157131037229921,-2.11858015852766,-3.47876687734378,-0.758393439711537
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,-1.44953696217897,-0.0724768481089487,-3.59418907334939,-0.17970945366747,-2.30958275945906,-3.67691641359938,-0.942249105318744
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-0.845234866385061,-0.042261743319253,-3.7519473055504,-0.18759736527752,-2.16011567511835,-3.52138336037642,-0.798847989860284
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-0.111087346108293,-0.00555436730541465,-2.00494955395275,-0.100247477697638,-1.97853283750207,-3.33702564751841,-0.620040027485719
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,0.105411256074796,0.00527056280373979,-2.0854908958521,-0.104274544792605,-1.92498443007907,-3.28362642835407,-0.56634243180406
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,0.543023286060073,0.0271511643030037,-2.49470923898656,-0.124735461949328,-1.81674619187077,-3.17703535279775,-0.45645703094378
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,0.689692849254583,0.0344846424627291,-2.33170404744802,-0.116585202372401,-1.78046918385641,-3.14171239947149,-0.419225968241324
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,0.429039769464654,0.0214519884732327,-2.66838618431587,-0.133419309215793,-1.84493868699365,-3.2046256152148,-0.485251758772492
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,0.231385916569962,0.0115692958284981,-2.61247623833998,-0.130623811916999,-1.89382606518827,-3.25275779844525,-0.534894331931279
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,0.778365994766959,0.038918299738348,-2.43658892271571,-0.121829446135786,-1.75853691419972,-3.12045454749343,-0.396619280906008
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,0.472856564787218,0.0236428282393609,-2.62383922575657,-0.131191961287829,-1.83410111305902,-3.19400512906724,-0.474197097050798
"Kerguelen","KER3","CAT2-S3-1A",22,31,32.1,31.6,0.267258464572483,0.0133629232286242,-3.03841322695563,-0.151920661347782,-1.88495340829178,-3.24399494062434,-0.525911875959208
"Kerguelen","KER3","CAT2-S3-1A",27,38.2,39.3,38.7,-0.594552638289246,-0.0297276319144623,-2.76566454367385,-0.138283227183692,-2.09811234600481,-3.45786358622424,-0.738361105785385
"Kerguelen","KER3","CAT2-S3-1A",28,39.5,40.7,40.1,-0.781829081006044,-0.0390914540503022,-3.25421248508823,-0.162710624254412,-2.14443299267046,-3.50526150755489,-0.783604477786023
