"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"HER42PB",8.2,22.63,-4.82460042948214,2362.59935201581,1515.20756058678,3683.90169329927
"HER42PB",8.3,23.67,-4.59243488980744,2760.22816515571,1770.2191364863,4303.90755962648
"HER42PB",8.4,24.72,-5.17644318133245,1866.4305117834,1196.99923745054,2910.24651171507
"HER42PB",8.5,25.76,-4.9621082532016,2154.6583902246,1381.84863233985,3359.66810684911
"HER42PB",8.6,26.81,-4.71605070804852,2540.82986614804,1629.51226583019,3961.80902966129
"HER42PB",8.7,27.85,-4.90930040144123,2232.2576044785,1431.61539284996,3480.6652943514
"HER42PB",8.8,28.89,-5.13309582634805,1921.43156957452,1232.27310584226,2996.00734533127
"HER42PB",8.9,29.94,-5.24719167460788,1780.02302396224,1141.58346044788,2775.51495410818
"HER42PB",9,30.98,-4.84484884222521,2330.76373406013,1494.79040057138,3634.26175464693
"HER42PB",9.1,32.03,-4.90359748854504,2240.80326872216,1437.09598991403,3493.99018879478
"HER42PB",9.2,33.07,-4.99236448788672,2111.41959295453,1354.11826304199,3292.24767081813
"HER42PB",9.3,34.12,-5.09526475159932,1970.7562206594,1263.90652019301,3072.91719697325
"HER42PB",9.4,35.16,-4.94056502979544,2185.98417626031,1401.93882147926,3408.51308605494
"HER42PB",9.5,36.2,-5.39860049794941,1608.30750574822,1031.45702227462,2507.76617657016
"HER42PB",9.6,37.25,-5.2004708604029,1836.62425861699,1177.88357143126,2863.77087613303
"HER42PB",9.7,38.29,-5.40609225848547,1600.2548660358,1026.29261699171,2495.21003451973
"HER42PB",9.8,39.34,-5.86389237450255,1177.55096706243,755.199618059209,1836.10564262885
"HER42PB",9.9,40.38,-5.70566342061709,1309.24446846572,839.658707085946,2041.4497744649
"HER42PB",10,41.43,-5.77455154554441,1250.18955710743,801.784977837896,1949.36793766729
"HER42PB",10.1,42.43,-5.41008683114934,1595.97772816722,1023.54955705199,2488.54087352844
"HER42PB",10.2,43.43,-5.69312528743231,1320.28916689738,846.742011563182,2058.67130769678
"HER42PB",10.3,44.43,-5.9200844941537,1134.04185062189,727.295884771166,1768.26370929703
"HER42PB",10.4,45.43,-5.86941711266514,1173.20023160268,752.409357722811,1829.32172401243
"HER42PB",10.5,46.43,-5.0108543624308,2085.42422167768,1337.44663267633,3251.71418291081
"HER42PB",10.6,47.43,-4.99264267822608,2111.02608735077,1353.86589580696,3291.63409409858
"HER42PB",10.7,48.43,-4.89595613208856,2252.30494649167,1444.47236928234,3511.92427066724
"HER42PB",10.8,49.44,-4.98975208317983,2115.11847036691,1356.49046678282,3298.01517462751
