Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,317.3,3633.23,81,370,734,1362.458644,1169.538311,1583.840173,15413.02165,15623.05773,15173.60204,221.7790745,204.6633306,239.8171548
HER42PB,317.4,3634.18,131,403,621,1846.385807,1591.741466,2135.910978,14956.82258,15225.6746,14652.53988,194.0509867,179.8433067,208.8085146
HER42PB,317.5,3635.12,85,395,645,1276.503486,1094.93229,1485.201058,15492.54605,15691.88724,15265.07407,228.2098319,210.4398365,246.9842443
HER42PB,317.6,3636.07,52,327,612,1007.990936,862.6008302,1175.951466,15739.07734,15904.48604,15549.80388,250.191096,230.1725033,271.5040263
HER42PB,317.7,3637.01,82,298,550,1594.937723,1371.915177,1849.728997,15193.70976,15432.43589,14922.48241,208.6118865,192.9083061,225.047959
HER42PB,317.8,3637.96,100,343,711,1687.749583,1452.9609,1955.502828,15103.74692,15353.86588,14819.99354,205.7628652,190.4325852,221.7630017
HER42PB,317.9,3638.9,103,361,599,1594.784209,1371.793068,1849.536932,15192.24735,15431.0623,14920.93296,210.2278132,194.4039999,226.7894811
HER42PB,318,3639.85,95,387,552,1404.761505,1206.305153,1632.310916,15372.59281,15587.94388,15127.26051,219.9050525,203.0103311,237.687941
HER42PB,318.1,3640.79,102,389,523,1450.953951,1246.476703,1685.201309,15329.5706,15550.61793,15077.90572,216.734818,200.1647361,234.1523374
HER42PB,318.2,3641.74,77,316,649,1498.220296,1287.639437,1739.23655,15282.12935,15509.20689,15023.7976,216.9097279,200.4130372,234.2252229
HER42PB,318.3,3642.69,72,375,525,1134.013448,971.4926648,1321.322284,15626.2237,15807.47425,15419.04468,237.0222211,218.2924579,256.8924091
HER42PB,318.4,3643.63,70,323,476,1239.964092,1063.248813,1443.221652,15526.78723,15721.51971,15304.47387,230.5080425,212.4908467,249.5638424
HER42PB,318.5,3644.58,89,365,565,1352.281021,1160.726982,1572.128641,15417.86854,15626.96323,15179.53055,227.1098098,209.5691573,245.6001763
HER42PB,318.6,3645.52,77,324,470,1399.946945,1202.102093,1626.821258,15379.8665,15594.42862,15135.39302,217.4459191,200.7286594,235.0450865
HER42PB,318.7,3646.47,79,273,426,1655.487143,1424.759844,1918.776549,15136.7643,15382.82245,14857.45808,205.0079265,189.6770793,221.0247441
HER42PB,318.8,3647.41,73,264,621,1675.910425,1442.613533,1942.023701,15115.42696,15364.08649,14833.27394,205.9219859,190.5593504,221.9617266
HER42PB,318.9,3648.36,24,326,750,557.6114426,475.3597769,653.4329845,16139.69953,16247.00535,16016.8717,299.9483922,274.8942389,326.9546874
HER42PB,319,3649.31,104,358,673,1718.075015,1479.444263,1990.058177,15077.74863,15331.33981,14790.16519,201.4357192,186.4753006,217.0360054
HER42PB,319.1,3650.25,81,374,503,1215.331104,1041.906713,1414.895326,15548.82772,15740.51725,15329.93191,233.1005453,214.8354071,252.4321359
HER42PB,319.2,3651.2,51,326,470,958.8831532,820.2320037,1119.205641,15783.03716,15942.21735,15600.82828,255.3390522,234.8100119,277.2254504
HER42PB,319.3,3652.14,56,314,764,1163.234598,996.7939907,1354.950673,15596.52708,15781.6762,15384.98059,237.4976916,218.7891794,257.3281041
HER42PB,319.4,3653.09,74,292,622,1525.345011,1311.256763,1770.251451,15257.87199,15488.19283,14995.94074,214.0423631,197.8097704,231.0671798
HER42PB,319.5,3654.03,55,287,541,1158.817895,992.9842211,1349.846838,15598.1197,15782.88993,15387.01667,240.3217769,221.3852218,260.395863
HER42PB,319.6,3654.98,30,337,509,574.4732814,489.8266037,673.0468192,16116.17224,16226.3769,15990.06455,306.6138512,281.0558641,334.1479994
HER42PB,319.7,3655.93,76,257,553,1739.022186,1497.789129,2013.853114,15054.34551,15310.68268,14763.77517,203.8916704,188.7875636,219.6310844
HER42PB,319.8,3656.87,51,291,523,1093.00224,936.0398449,1274.040775,15661.07295,15837.32836,15459.54342,243.1841782,223.8911599,263.6751762
HER42PB,319.9,3657.82,27,351,572,536.6995954,457.4637031,629.0398309,16153.24069,16258.18879,16033.17074,307.3190869,281.6068754,335.0487992
HER42PB,320,3658.76,80,380,533,1248.974637,1071.062494,1453.572973,15517.9085,15713.81023,15294.28864,230.3762304,212.386646,249.3977559
