"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,-6.68559220818189,0.000124878,4.43864101113566,0.742198205,4.64021900019485,3.27988681748143,6.00055118290828
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,-5.98994570113871,0.00025038,4.80344728262227,2.033316472,5.13239223245826,3.77090224817308,6.49388221674344
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,-4.76628633513656,0.000851193,5.98428028095816,5.745249531,5.99813708887179,4.62787353054962,7.36840064719395
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-5.8344221665659,0.000292511,4.35540494071757,1.455982628,5.24242587731774,3.88029593732031,6.60455581731518
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,-7.24001778894968,7.17e-05,3.88415610860909,0.777225072,4.24796024898536,2.88655324580152,5.60936725216919
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,-6.92745913115674,9.8e-05,4.00656452024886,0.787834033,4.46909699490496,3.10851373957884,5.82968025023109
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-6.95323288573305,9.56e-05,4.2005864736865,1.229024654,4.45086194021992,3.09023204716484,5.811491833275
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,-6.98996149201316,9.21e-05,3.81886221842324,0.733053273,4.42487627553766,3.06417330726335,5.78557924381197
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,-6.96542252813917,9.44e-05,4.1546641852174,1.280136996,4.44223770989257,3.08158442617484,5.80289099361031
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,-6.70465608017729,0.000122519,4.05152727565217,0.642275568,4.62673121954126,3.26639149273477,5.98707094634775
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-5.47810429821984,0.000417724,5.71368490502222,3.615574304,5.4945224740828,4.13040296380589,6.85864198435971
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,-4.62685347862724,0.00097855,5.58632001198581,1.25829967,6.09678650201066,4.7249832379025,7.46858976611882
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-5.5888723618936,0.000373924,5.4404973877952,5.020919187,5.41615353903044,4.05273045841689,6.77957661964399
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-6.3171459349231,0.000180509,3.82452895895416,1.295830968,4.90089650146768,3.54029846830573,6.26149453462963
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,-6.6445905657285,0.000130104,4.00875085894896,0.576230328,4.66922785841534,3.30890480007059,6.02955091676009
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,-7.1735597541946,7.67e-05,4.30366694300695,2.614554557,4.29497962656307,2.93379486026378,5.65616439286237
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,-7.37928807681042,6.24e-05,3.98876992549385,1.825000442,4.14942585394322,2.78747072746213,5.51138098042432
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,-7.34759135927138,6.44e-05,4.18289229602208,2.528396357,4.17185143326459,2.81003085633538,5.53367201019381
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,-7.41846424288649,6e-05,4.09322867568557,2.067625201,4.12170852899423,2.75957912650091,5.48383793148755
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,-7.44462718113077,5.85e-05,3.63234687836706,1.422170806,4.10319812500194,2.74094742641703,5.46544882358686
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,-7.39291965374646,6.16e-05,3.85919056273826,1.668705887,4.13978144803659,2.77776668145825,5.50179621461493
