"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,-5.95386426530754,-6.72717077401102,1.95167430448871,-3.6834853087103,2.26551087815377,1.06944365598995,3.4615781003176,2.27807363573483,1.03993242599365,3.516214845476
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,-5.85613564509523,-6.73388494501254,1.51769928087148,-3.11433580322355,2.48842452248615,1.29329990562005,3.68354913935226,2.49669721545976,1.27524305482126,3.71815137609826
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-6.07620174254056,-6.78745898096735,1.59351403194832,-3.66931485514425,1.98646577520237,0.788655067412493,3.18427648299225,2.00439887035805,0.744885806500151,3.26391193421594
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,-5.85651416538571,-7.16651847970084,1.40944898136223,-2.80320546790617,2.48756113838003,1.29243364349038,3.68268863326968,2.49585044753524,1.2743323363334,3.71736855873708
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,-5.91880043406328,-6.82619840999973,1.94570525535175,-2.3493602935668,2.34548956187952,1.14980659716283,3.5411725265962,2.3565130968552,1.12439927337155,3.58862692033885
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,-5.99648887153396,-6.66100313389561,1.7300241805161,-3.41041775899623,2.16828647969688,0.971682811549682,3.36489014784408,2.18272036074393,0.93719255955803,3.42824816192982
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-5.9227235804562,-6.67005239711606,1.82420387482074,-2.45373509436334,2.33654107925697,1.14081768123674,3.5322644772772,2.34773683145473,1.11495084753332,3.58052281537614
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,-5.8698141596952,-6.60063492071882,1.32810478696389,-3.57247115853538,2.45722457786493,1.26199214047013,3.65245701525973,2.46609772658262,1.24232919373832,3.68986625942691
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-6.0867563250179,-6.90177050552258,1.16641655021584,-3.50736275446395,1.9623913491098,0.764400939734964,3.16038175848463,1.98078776647993,0.719406503403219,3.24216902955663
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-5.95780251336356,-6.87153837340641,1.47480732094036,-2.74625205307087,2.25652794946262,1.06041435168764,3.45264154723759,2.26926358719448,1.03044262630563,3.50808454808332
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,-6.01198784513197,-6.66942118374898,1.29285458993527,-4.56216769048893,2.13293416754269,0.936116596226697,3.32975173885868,2.14804841835184,0.899818752435158,3.39627808426852
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,-5.7609562626586,-6.81092928276258,2.17939088719049,-1.46977723170747,2.70552349470292,1.51093156799076,3.90011542141507,2.70961802882128,1.50407159774018,3.91516445990239
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,-5.89006212969387,-7.11349363810197,2.06371002431594,-1.20702619451415,2.41104006433214,1.21563360962319,3.60644651904109,2.42080205297487,1.19359482129042,3.64800928465932
