"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,0.234463563787868,0.0117231781893934,-1.23747837389761,-0.0618739186948806,-2.30599721776411,-3.75680810855318,-0.855186326975034,-2.29573417243897,-3.70311212432579,-0.888356220552158
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-0.846697774648327,-0.0423348887324163,-3.37925767808109,-0.168962883904055,-2.92470494468869,-4.36762821080887,-1.48178167856852,-2.9231478250092,-4.35845439129892,-1.48784125871949
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,-1.13842151451712,-0.056921075725856,-3.75573425569047,-0.187786712784524,-3.09164740329087,-4.53441615628028,-1.64887865030147,-3.09243935502013,-4.5373855057923,-1.64749320424796
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,-0.98658334818313,-0.0493291674091565,-3.45396205368932,-0.172698102684466,-3.00475616568078,-4.4475003496685,-1.56201198169307,-3.00432545827557,-4.44414558964905,-1.5645053269021
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-1.14894157912574,-0.057447078956287,-3.16676068580142,-0.158338034290071,-3.09766763822687,-4.54044653663336,-1.65488873982037,-3.09854430155005,-4.54385429110073,-1.65323431199937
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,-0.62039731741181,-0.0310198658705905,-3.87351568845969,-0.193675784422984,-2.795201755367,-4.23882414090624,-1.35157936982775,-2.79182237763569,-4.2202563276123,-1.36338842765909
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,-0.317379215478592,-0.0158689607739296,-3.76972611471866,-0.188486305735933,-2.62179596069136,-4.06714561133296,-1.17644631004976,-2.61597656501738,-4.03605052095616,-1.1959026090786
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,-1.05281480721691,-0.0526407403608457,-3.52192770109451,-0.176096385054726,-3.04265792373751,-4.48538479650481,-1.5999310509702,-3.0427605374355,-4.48478773455926,-1.60073334031173
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-0.225390653472696,-0.0112695326736348,-1.6429558246298,-0.08214779123149,-2.56915438715521,-4.01520720566957,-1.12310156864085,-2.56259426430888,-3.980323538437,-1.14486499018076
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,0.288928107891677,0.0144464053945839,-1.57888420929289,-0.0789442104646447,-2.27482921990618,-3.7263402618079,-0.82331817800446,-2.26412760518864,-3.67043224256071,-0.857822967816569
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-0.510884050244635,-0.0255442025122318,-1.59147463603803,-0.0795737318019016,-2.73253145613572,-4.17667367678572,-1.28838923548572,-2.72827023558663,-4.15357075023633,-1.30296972093692
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-1.59139234208054,-0.079569617104027,-3.70493491938577,-0.185246745969288,-3.35086546919978,-4.7950610756072,-1.90666986279235,-3.35530491571471,-4.81692123768644,-1.89368859374297
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,-2.52477027519317,-0.126238513759658,-3.80689731721659,-0.190344865860829,-3.88500234482369,-5.33849691007426,-2.43150777957313,-3.89695770834017,-5.3991743236309,-2.39474109304944
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,-0.248969729384786,-0.0124484864692393,-2.83298619075807,-0.141649309537903,-2.58264780015651,-4.02851245436528,-1.13678314594773,-2.57627754507032,-3.99459918681876,-1.15795590332188
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,-0.27873589081204,-0.013936794540602,-3.09032398951363,-0.154516199475682,-2.59968184810218,-4.04531676303133,-1.15404693317303,-2.59355128156101,-4.01262923352497,-1.17447332959704
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,-0.125717709185656,-0.0062858854592828,-2.71198862899682,-0.135599431449841,-2.51211533238757,-3.95902383964175,-1.06520682513339,-2.50475260477635,-3.92004382833318,-1.08946138121952
