"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,4.04549360182926,0.202274680091463,4.32222926860579,0.216111463430289,4.70621738118604,3.69606958610627,5.71636517626581,4.70751884166095,3.70293017320644,5.71210751011547
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,4.20688667579573,0.210344333789787,4.9870268127287,0.249351340636435,4.82870566702133,3.81805474450621,5.83935658953645,4.83067769951728,3.82878025323028,5.83257514580429
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,4.20946155023655,0.210473077511828,5.06792520468346,0.253396260234173,4.83065985222114,3.81999925416577,5.84132045027651,4.83264258306192,3.83078638994939,5.83449877617444
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,4.02057166054361,0.201028583027181,4.81447411276278,0.240723705638139,4.68730302635814,3.67721478109845,5.69739127161782,4.68850093866878,3.68347824931844,5.69352362801911
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,3.73296967617248,0.186648483808624,4.85287670456997,0.242643835228499,4.46902926031185,3.45927669387946,5.47878182674423,4.46903221524808,3.45864671867884,5.47941771181732
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,3.98749718665813,0.199374859332907,4.75237422091769,0.237618711045884,4.66220135680336,3.65218464256864,5.67221807103808,4.66326184799515,3.65765556689466,5.66886812909565
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,4.07721761287018,0.203860880643509,4.87092507236533,0.243546253618267,4.73029412522915,3.7200635033675,5.7405247470908,4.73172739578535,3.72768408347536,5.73577070809535
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,4.02728088940098,0.201364044470049,4.55479085391484,0.227739542695742,4.69239495454203,3.68229115554338,5.70249875354068,4.69362074302508,3.68871538032904,5.69852610572111
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,4.02343417293336,0.201171708646668,4.56884984203392,0.228442492101696,4.68947551261907,3.67938067435564,5.6995703508825,4.69068531838134,3.68571273039521,5.69565790636747
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,3.55732668671116,0.177866334335558,4.67329165303595,0.233664582651798,4.33572608831468,3.32586016849709,5.34559200813227,4.33499926426146,3.32102094249987,5.34897758602305
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,3.5425161247517,0.177125806237585,4.48390606339604,0.224195303169802,4.32448570294939,3.31459918895903,5.33437221693975,4.32369734249797,3.30940515713341,5.33798952786254
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,3.37147649627254,0.168573824813627,3.71033830319618,0.185516915159809,4.19467622359918,3.18442757094582,5.20492487625254,4.19317721066108,3.17513835601398,5.21121606530819
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,3.36425150611303,0.168212575305652,4.1311537140844,0.20655768570422,4.18919286153125,3.17892387696798,5.19946184609452,4.18766382948431,3.16946178611,5.20586587285862
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,3.39381018976296,0.169690509488148,4.46574796118081,0.223287398059041,4.21162624360178,3.20143786079701,5.22181462640655,4.21022002491819,3.19268309951252,5.22775695032386
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,3.50459817201332,0.175229908600666,4.0629145051075,0.203145725255375,4.29570810475908,3.28576104519593,5.30565516432222,4.29476219902039,3.27965876470097,5.3098656333398
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,3.27754478316552,0.163877239158276,4.5921214156439,0.229606070782195,4.1233873247556,3.1128425235489,5.1339321259623,4.12149803497879,3.10130662043303,5.14168944952454
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,3.97533822171038,0.198766911085519,4.42232026302533,0.221116013151266,4.65297338476355,3.64298081660888,5.66296595291822,4.65398335667655,3.64816035899445,5.65980635435865
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,3.54064208086264,0.177032104043132,3.78519952497444,0.189259976248722,4.32306340880808,3.31317416663943,5.33295265097673,4.32226726189243,3.30793524156714,5.33659928221771
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,3.08628429255357,0.154314214627679,3.74753124175321,0.187376562087661,3.9782313458321,2.96687067440381,4.9895920172604,3.97554738791631,2.95076702195507,5.00032775387754
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,3.29089558217226,0.164544779108613,4.27434822408233,0.213717411204116,4.133519831961,3.12302132470459,5.14401833921741,4.13168601341386,3.111804630476,5.15156739635171
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,3.32529753237831,0.166264876618915,3.75753129902044,0.187876564951022,4.15962898154573,3.14924334846431,5.17001461462714,4.15793809964828,3.13884937075167,5.17702682854489
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,3.43947986488898,0.171973993244449,4.05563372668088,0.202781686334044,4.24628696406122,3.23620968765924,5.25636424046319,4.24507049829327,3.22854810394197,5.26159289264456
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,3.316123696949,0.16580618484745,4.23358131094066,0.211679065547033,4.15266655528632,3.14225172631581,5.16308138425682,4.15093755702357,3.13163833207859,5.17023678196855
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,3.55969972406062,0.177984986203031,4.18296889993476,0.209148444996738,4.33752709048915,3.3276643108816,5.34738987009671,4.3368101261679,3.32288193637064,5.35073831596517
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,3.66996632473881,0.18349831623694,4.57489703375677,0.228744851687839,4.42121325229287,3.41144779417214,5.4309787104136,4.42095443462842,3.40930770592548,5.43260116333137
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,3.38913628413107,0.169456814206553,4.33410310923705,0.216705155461852,4.20807901152461,3.19787833824118,5.21827968480805,4.20665337323231,3.18901172075973,5.22429502570489
