"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1C",88,115.4,116.7,116,116,0.65,4151,4388,4290,4284,119,0.03659,0.00122,89.08,10.92,0.55,100,5,57.8,5,4.5004,4.1494,1.2623,0.3929,0.3819,0.0144,0.0144,100.5
"Kerguelen","KER1","CAT1.1C",89,116.9,118.2,117.5,117.5,0.65,4229,4401,4328,4325,86,0.0375,0.00095,88.81,11.19,0.56,95.45,4.77,55.18,4.77,4.5004,4.1944,1.1163,0.3799,0.373,0.0142,0.0144,100.7
"Kerguelen","KER1","CAT1.1C",90,118.4,119.7,119,119,0.65,4267,4453,4368,4365,93,0.03947,0.00106,87.63,12.37,0.62,94.55,4.73,54.65,4.73,4.8276,4.5548,1.1741,0.3829,0.3805,0.0151,0.0154,102
"Kerguelen","KER1","CAT1.1C",91,119.8,121.2,120.5,120.5,0.7,4288,4534,4402,4403,123,0.04571,0.00154,88.74,11.26,0.56,93.81,4.69,54.22,4.69,5.5637,5.3133,1.0419,0.3236,0.3252,0.0148,0.0154,103.9
"Kerguelen","KER1","CAT1.1C",92,121.4,122.7,122.1,122.1,0.65,4317,4572,4437,4438,128,0.04667,0.00159,87.86,12.14,0.61,93.02,4.65,53.77,4.65,4.9392,4.7614,1.1932,0.3772,0.3824,0.0176,0.0184,104.8
"Kerguelen","KER1","CAT1.1C",93,122.9,124.1,123.5,123.5,0.6,4330,4622,4465,4468,146,0.04667,0.00175,87.88,12.12,0.61,93.18,4.66,53.86,4.66,4.3544,4.2368,1.1588,0.404,0.4133,0.0189,0.02,106.1
"Kerguelen","KER1","CAT1.1C",94,124.3,125.6,124.9,124.9,0.625,4341,4686,4491,4498,173,0.04848,0.0021,87.55,12.45,0.62,95.06,4.75,54.95,4.75,4.7493,4.6733,1.1775,0.3883,0.4015,0.0188,0.0203,107.7
"Kerguelen","KER1","CAT1.1D",102,125.9,127.1,126.5,126.5,0.6,4371,4716,4526,4531,173,0.04688,0.00201,88.17,11.83,0.59,95.62,4.78,55.27,4.78,3.768,3.9941,1.2914,0.4574,0.5077,0.0214,0.0247,115.3
"Kerguelen","KER1","CAT1.1D",103,127.4,128.6,128,128,0.6,4389,4741,4561,4563,176,0.04828,0.00209,87.09,12.91,0.65,94.92,4.75,54.86,4.75,3.9588,4.2398,1.3339,0.4622,0.5181,0.0223,0.026,116.4
"Kerguelen","KER1","CAT1.1D",104,128.9,130,129.4,129.4,0.55,4404,4778,4589,4592,187,0.04667,0.0021,86.47,13.53,0.68,95.04,4.75,54.94,4.75,3.808,4.1203,1.2429,0.4695,0.5315,0.0219,0.0258,117.7
"Kerguelen","KER1","CAT1.1D",105,130.3,131.4,130.8,130.8,0.55,4437,4813,4621,4622,188,0.04516,0.00203,86.99,13.01,0.65,94.4,4.72,54.57,4.72,3.808,4.1584,1.4528,0.4904,0.5601,0.0221,0.0263,118.7
"Kerguelen","KER1","CAT1.1D",106,131.7,132.8,132.2,132.2,0.55,4469,4836,4653,4653,184,0.04688,0.00204,87.45,12.55,0.63,93.48,4.67,54.03,4.67,3.9915,4.4027,1.3623,0.4585,0.5286,0.0215,0.0257,119.7
"Kerguelen","KER1","CAT1.1D",107,133.1,134.3,133.7,133.7,0.6,4494,4868,4687,4685,187,0.04545,0.00202,88.32,11.68,0.58,92.86,4.64,53.67,4.64,3.8628,4.2896,1.2579,0.444,0.5153,0.0202,0.0243,120.5
"Kerguelen","KER1","CAT1.1D",108,134.6,135.8,135.2,135.2,0.6,4518,4906,4719,4718,194,0.04286,0.00195,88.39,11.61,0.58,92.97,4.65,53.74,4.65,4.5593,5.1246,1.1761,0.3882,0.4558,0.0166,0.0203,122
"Kerguelen","KER1","CAT1.1D",109,136.1,137.3,136.7,136.7,0.6,4574,4925,4753,4753,176,0.04412,0.00182,87.89,12.11,0.61,94.29,4.71,54.5,4.72,4.3544,4.9335,1.2548,0.4155,0.4915,0.0183,0.0224,122.4
"Kerguelen","KER1","CAT1.1D",110,137.6,138.8,138.2,138.2,0.6,4615,4948,4790,4787,167,0.04286,0.00168,87.93,12.07,0.6,93.88,4.69,54.26,4.69,3.582,4.0798,1.4593,0.4965,0.5904,0.0213,0.0261,122.8
"Kerguelen","KER1","CAT1.1D",111,139.1,140.3,139.7,139.7,0.6,4640,4986,4825,4822,173,0.04,0.00161,88.51,11.49,0.57,95.45,4.77,55.18,4.77,3.8628,4.4441,1.4068,0.4587,0.5507,0.0183,0.0228,124.1
"Kerguelen","KER1","CAT1.1D",112,140.6,141.7,141.1,141.1,0.55,4710,5004,4856,4857,147,0.03889,0.00133,88.55,11.45,0.57,95.08,4.75,54.96,4.75,3.454,4.0066,1.4381,0.497,0.6014,0.0193,0.024,124.4
"Kerguelen","KER1","CAT1.1D",113,142,143.1,142.5,142.5,0.55,4791,5015,4889,4893,112,0.03846,0.00103,89.16,10.84,0.54,93.99,4.7,54.33,4.7,3.6289,4.2494,1.5203,0.481,0.5873,0.0185,0.0231,124.8
