"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"KER1","Ca","PLS_LOO",1,0.816165939783546,0.714591218855023,0.380160401230266,5060.00126868248,0.705122693832022,0.982730808710832,2249
"KER1","Ca","PLS_kfold",2,0.816165939783546,0.714591218855023,0.380160401230266,5060.00126868248,0.705122693832022,0.982730808710832,2249
"KER1","Ca","Bayes",3,0.783284539496383,0.71849446314204,0.377551919451181,4920.26934220119,0.704725349714462,0.901123324169265,2249
"KER1","Ca","OLS_weighted",4,0.745933820063054,0.60078407376705,0.449611220751241,5620.88386479327,0.674953830091046,0.852403805021067,2523
"KER1","Ca","OLS",5,0.650832319176415,0.605349695781694,0.447032844459699,5504.63271481712,0.534128988002982,0.825887315936563,2523
"KER1","Ca","RF",6,0.6,0.739371873885863,0.363281977243897,4506.9080410246,1,0,2249
"KER1","Ca","WLS",7,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,2523
"KER1","Ca","WLS_weighted",8,0.399834722254343,0.604732452698864,0.447382293228408,5447.03371534874,0.00384096488678577,0.993825358305678,2523
"KER1","Fe","OLS_weighted",1,0.936783876548428,0.705011398870254,0.619652240442579,19165.0781241486,1,0.84195969137107,2523
"KER1","Fe","OLS",2,0.616701376903093,0.711860213839782,0.612416695598065,19046.317786508,0.43681426246481,0.886532048560518,2523
"KER1","Fe","Bayes",3,0.588408912011073,0.782666025570093,0.531874559979908,13054.643263387,0.555135787732706,0.638318598428622,2249
"KER1","Fe","PLS_LOO",4,0.560865762600538,0.769588412151896,0.547643031052147,12699.4253247054,0.50841272849295,0.639545313761921,2249
"KER1","Fe","PLS_kfold",5,0.560865762600538,0.769588412151896,0.547643031052147,12699.4253247054,0.50841272849295,0.639545313761921,2249
"KER1","Fe","WLS_weighted",6,0.404299322735023,0.711404682307114,0.612900601250386,19121.2837499281,0.00716553789170452,1,2523
"KER1","Fe","WLS",7,0.398925666629687,0.711426381771426,0.612877558837851,19118.97376675,0,0.997314166574218,2523
"KER1","Fe","RF",8,0.344925913211586,0.80646417107391,0.501910285388067,18226.9640487726,0.57487652201931,0,2249
"KER1","Mn","RF",1,0.971967942375873,0.693783864178937,0.533068349436722,100.340442065868,0.966340698815966,0.980408807715733,2249
"KER1","Mn","PLS_LOO",2,0.917671053996228,0.652472643614871,0.567888873609633,106.37886834467,0.862785089993714,1,2249
"KER1","Mn","PLS_kfold",3,0.917671053996228,0.652472643614871,0.567888873609633,106.37886834467,0.862785089993714,1,2249
"KER1","Mn","Bayes",4,0.715526280874906,0.675458563365959,0.54878715622519,106.167683499791,1,0.288815702187265,2249
"KER1","Mn","OLS",5,0.50773590097268,0.642325781154841,0.576119639333299,111.776118917736,0.846226501621134,0,2469
"KER1","Mn","OLS_weighted",6,0.165332970266386,0.621575234052913,0.592595892589243,115.442539169045,0.203343355989487,0.108317391681735,2469
"KER1","Mn","WLS",7,0.0482351094541899,0.64171449487873,0.57661174033931,108.962939644912,0.00259036246444216,0.116702229938812,2469
"KER1","Mn","WLS_weighted",8,0.0328661085797698,0.642027836746649,0.576359544649593,109.653909631702,0,0.0821652714494244,2469
"KER1","Sr","PLS_LOO",1,0.776302813793986,0.681443929954195,0.349250256346248,60.5526521980026,0.898715168428767,0.592684281841814,2249
"KER1","Sr","PLS_kfold",2,0.776302813793986,0.681443929954195,0.349250256346248,60.5526521980026,0.898715168428767,0.592684281841814,2249
"KER1","Sr","OLS",3,0.754351608533643,0.605940022011523,0.388440903375382,59.7735590156883,0.824424185892234,0.649242742495757,2310
"KER1","Sr","Bayes",4,0.691918492894332,0.719033486991341,0.327997906598047,49.7050467588939,0.925785471218428,0.341118025408189,2249
"KER1","Sr","RF",5,0.6,0.724605462674095,0.324729281645887,42.4284084999708,1,0,2249
"KER1","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,2310
"KER1","Sr","WLS_weighted",7,0.352650626796989,0.605197017350042,0.38880693583257,61.616501941787,0.111329077596,0.714632950598473,2310
"KER1","Sr","WLS",8,0.313030949857398,0.605899324973479,0.388460961218056,59.3656290640811,0.0985215662981467,0.634795025196275,2310
"KER1","Ti","PLS_LOO",1,0.826786944559369,0.754035431978301,0.610392701137588,2029.36926987965,0.748708362242265,0.943904818035024,2249
"KER1","Ti","PLS_kfold",2,0.826786944559369,0.754035431978301,0.610392701137588,2029.36926987965,0.748708362242265,0.943904818035024,2249
"KER1","Ti","OLS",3,0.724633335945585,0.729930592021033,0.639603384224678,2035.54425020404,0.650803998771061,0.835377341707371,2505
"KER1","Ti","OLS_weighted",4,0.716352966372082,0.718555763474536,0.652933928562262,2173.73266969499,0.626721661760214,0.850799923289884,2505
"KER1","Ti","Bayes",5,0.711369992047064,0.769067236846491,0.591446999353038,1783.30513592537,0.76647918688794,0.628706199785751,2249
